city;month;avg_mth_en_consumption_house_kwh;energy_price_eur_kwh;solar_panel_brand;solar_panel_power_kwh;solar_panel_efficiency_%
reykjavik;11;1303;0.1205;jinko_solar;405;0.8
reykjavik;12;1324;0.1205;jinko_solar;405;0.8
rome;1;423;0.3192;jinko_solar;405;0.8
rome;2;396;0.3192;jinko_solar;405;0.8
rome;3;412;0.3192;jinko_solar;405;0.8
rome;4;415;0.3192;jinko_solar;405;0.8
rome;5;422;0.3192;jinko_solar;405;0.8
rome;6;449;0.3192;jinko_solar;405;0.8
rome;7;464;0.3192;jinko_solar;405;0.8
rome;8;453;0.3192;jinko_solar;405;0.8
rome;9;432;0.3192;jinko_solar;405;0.8
rome;10;416;0.3192;jinko_solar;405;0.8
rome;11;396;0.3192;jinko_solar;405;0.8
rome;12;396;0.3192;jinko_solar;405;0.8
sarajevo;1;315;0.071;jinko_solar;405;0.8
sarajevo;2;284;0.071;jinko_solar;405;0.8
sarajevo;3;306;0.071;jinko_solar;405;0.8
sarajevo;4;347;0.071;jinko_solar;405;0.8
sarajevo;5;394;0.071;jinko_solar;405;0.8
sarajevo;6;421;0.071;jinko_solar;405;0.8
sarajevo;7;436;0.071;jinko_solar;405;0.8
sarajevo;8;406;0.071;jinko_solar;405;0.8
sarajevo;9;361;0.071;jinko_solar;405;0.8
sarajevo;10;334;0.071;jinko_solar;405;0.8
sarajevo;11;306;0.071;jinko_solar;405;0.8
sarajevo;12;296;0.071;jinko_solar;405;0.8
skopje;1;269;0.98;jinko_solar;405;0.8
skopje;2;248;0.98;jinko_solar;405;0.8
skopje;3;272;0.98;jinko_solar;405;0.8
skopje;4;309;0.98;jinko_solar;405;0.8
skopje;5;351;0.98;jinko_solar;405;0.8
skopje;6;380;0.98;jinko_solar;405;0.8
skopje;7;391;0.98;jinko_solar;405;0.8
skopje;8;364;0.98;jinko_solar;405;0.8
skopje;9;320;0.98;jinko_solar;405;0.8
skopje;10;289;0.98;jinko_solar;405;0.8
skopje;11;268;0.98;jinko_solar;405;0.8
skopje;12;261;0.98;jinko_solar;405;0.8
sofia;1;247;0.093;jinko_solar;405;0.8
sofia;2;241;0.093;jinko_solar;405;0.8
sofia;3;276;0.093;jinko_solar;405;0.8
sofia;4;314;0.093;jinko_solar;405;0.8
sofia;5;364;0.093;jinko_solar;405;0.8
sofia;6;402;0.093;jinko_solar;405;0.8
sofia;7;425;0.093;jinko_solar;405;0.8
sofia;8;412;0.093;jinko_solar;405;0.8
sofia;9;349;0.093;jinko_solar;405;0.8
sofia;10;313;0.093;jinko_solar;405;0.8
sofia;11;276;0.093;jinko_solar;405;0.8
sofia;12;247;0.093;jinko_solar;405;0.8
stockholm;1;463;0.248;jinko_solar;405;0.8
stockholm;2;429;0.248;jinko_solar;405;0.8
stockholm;3;423;0.248;jinko_solar;405;0.8
stockholm;4;421;0.248;jinko_solar;405;0.8
stockholm;5;463;0.248;jinko_solar;405;0.8
stockholm;6;494;0.248;jinko_solar;405;0.8
stockholm;7;537;0.248;jinko_solar;405;0.8
stockholm;8;526;0.248;jinko_solar;405;0.8
stockholm;9;474;0.248;jinko_solar;405;0.8
stockholm;10;446;0.248;jinko_solar;405;0.8
stockholm;11;446;0.248;jinko_solar;405;0.8
stockholm;12;446;0.248;jinko_solar;405;0.8
tallinn;1;465;0.2085;jinko_solar;405;0.8
tallinn;2;429;0.2085;jinko_solar;405;0.8
tallinn;3;440;0.2085;jinko_solar;405;0.8
tallinn;4;474;0.2085;jinko_solar;405;0.8
tallinn;5;518;0.2085;jinko_solar;405;0.8
tallinn;6;563;0.2085;jinko_solar;405;0.8
tallinn;7;585;0.2085;jinko_solar;405;0.8
tallinn;8;574;0.2085;jinko_solar;405;0.8
tallinn;9;518;0.2085;jinko_solar;405;0.8
tallinn;10;474;0.2085;jinko_solar;405;0.8
tallinn;11;440;0.2085;jinko_solar;405;0.8
tallinn;12;429;0.2085;jinko_solar;405;0.8
tirana;1;282;0.081;jinko_solar;405;0.8
tirana;2;272;0.081;jinko_solar;405;0.8
tirana;3;305;0.081;jinko_solar;405;0.8
tirana;4;347;0.081;jinko_solar;405;0.8
tirana;5;402;0.081;jinko_solar;405;0.8
tirana;6;438;0.081;jinko_solar;405;0.8
