,city,month,latitude,longitude,hours_of_sun,temp,humidity,precip,cloudcover,avg_mth_en_consumption_house_kwh,energy_price_eur_kwh,solar_panel_power_kwh,monthly_energy_produced_kwh,montlhy_energy_cost_eur,montlhy_solar_panel_cost_saved,money_saved,encoded_city,country
153,lisbon,10,38.72599999999999,-9.149,346.56194444444446,20.029032258064515,74.15483870967742,3.7240967741935487,45.26451612903226,408,0.1972,405,76.82540466774192,80.4576,15.149969800478706,19.0,12,portugal
154,lisbon,11,38.726,-9.149,302.3861111111111,15.416666666666666,85.09666666666666,2.1920333333333333,50.04,383,0.1972,405,61.184200950000005,75.52759999999999,12.06552442734,16.0,12,portugal
155,lisbon,12,38.72599999999999,-9.149,294.7522222222222,14.422580645161291,92.43548387096774,5.968967741935484,60.08709677419355,368,0.1972,405,47.64588853064516,72.5696,9.395769218243224,13.0,12,portugal
156,ljubljana,1,46.051,14.503,282.57,0.6838709677419356,80.93870967741935,2.9966129032258064,45.39354838709678,244,0.1533,405,62.49208738064516,37.4052,9.580036995452902,26.0,13,slovenia
157,ljubljana,2,46.051,14.503,290.2347222222222,4.757142857142857,69.85357142857143,1.2939642857142857,60.957142857142856,231,0.1533,405,45.89295083035715,35.412299999999995,7.035389362293751,20.0,13,slovenia
158,ljubljana,3,46.051,14.503,369.8911111111111,6.370967741935484,49.50322580645161,0.6821612903225807,33.3258064516129,254,0.1533,405,99.88187571290324,38.938199999999995,15.311891546788065,39.0,13,slovenia
159,ljubljana,4,46.051,14.503000000000002,406.9963888888889,9.616666666666667,66.81333333333333,2.5760666666666667,60.57,290,0.1533,405,64.99386383625,44.457,9.963559326097124,22.0,13,slovenia
160,ljubljana,5,46.051,14.503,464.0436111111111,16.532258064516128,72.05483870967741,1.6968709677419356,59.248387096774195,334,0.1533,405,76.58762872137098,51.2022,11.74088348298617,23.0,13,slovenia
161,ljubljana,6,46.051,14.503000000000002,470.8075,21.39,68.26666666666667,0.5529666666666666,47.85333333333333,358,0.1533,405,99.43171915500001,54.8814,15.242882546461502,28.0,13,slovenia
162,ljubljana,7,46.051,14.503,475.41027777777776,22.741935483870968,60.78709677419354,0.9332580645161289,44.141935483870974,369,0.1533,405,107.54976676935483,56.567699999999995,16.487379245742094,29.0,13,slovenia
163,ljubljana,8,46.051,14.503,437.2375,21.490322580645163,67.49032258064516,1.0266774193548387,57.91290322580645,343,0.1533,405,74.52833075201612,52.5819,11.42519310428407,22.0,13,slovenia
164,ljubljana,9,46.051,14.503000000000002,376.17055555555555,15.133333333333333,80.02,13.454266666666665,66.31333333333333,305,0.1533,405,51.321325065,46.756499999999996,7.8675591324645,17.0,13,slovenia
165,ljubljana,10,46.051,14.503,338.3619444444444,14.04516129032258,81.59032258064516,1.5359032258064516,52.351612903225806,272,0.1533,405,65.29572367620968,41.697599999999994,10.009834439562942,24.0,13,slovenia
166,ljubljana,11,46.051,14.503000000000002,284.15250000000003,7.696666666666667,85.73666666666666,2.226633333333333,81.22666666666667,247,0.1533,405,21.60468288,37.8651,3.3119978855039998,9.0,13,slovenia
